id,Geographic Area Name,Estimate!!Total!!Population 18 to 24 years,Estimate!!Total!!Population 18 to 24 years!!Less than high school graduate,Estimate!!Total!!Population 18 to 24 years!!High school graduate (includes equivalency),Estimate!!Total!!Population 18 to 24 years!!Some college or associate's degree,Estimate!!Total!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!Population 25 years and over,Estimate!!Total!!Population 25 years and over!!Less than 9th grade,Estimate!!Total!!Population 25 years and over!!9th to 12th grade!!no diploma,Estimate!!Total!!Population 25 years and over!!High school graduate (includes equivalency),Estimate!!Total!!Population 25 years and over!!Some college!!no degree,Estimate!!Total!!Population 25 years and over!!Associate's degree,Estimate!!Total!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!Population 25 years and over!!Bachelor's degree or higher
0500000US48085,Collin County  Texas,76626,10042,23283,30758,12543,616730,20816,18315,91405,121199,45997,203802,115196,577599,318998
0500000US48087,Collingsworth County  Texas,267,66,143,51,7,2003,224,255,613,420,122,277,92,1524,369
0500000US48089,Colorado County  Texas,1792,348,641,680,123,14336,1313,1338,5218,2662,1132,1956,717,11685,2673
0500000US48091,Comal County  Texas,10288,1388,4269,3628,1003,93869,3230,3872,24400,22381,6869,21678,11439,86767,33117
0500000US48093,Comanche County  Texas,1032,290,305,385,52,9440,1018,512,3419,2086,539,1346,520,7910,1866
0500000US48095,Concho County  Texas,702,204,441,34,23,2990,710,423,841,579,80,244,113,1857,357
0500000US48097,Cooke County  Texas,3433,465,1144,1618,206,26634,1416,2267,8382,6922,2176,3748,1723,22951,5471
0500000US48099,Coryell County  Texas,10323,815,5202,3932,374,47257,2266,3343,13217,15831,5198,5339,2063,41648,7402
0500000US48101,Cottle County  Texas,43,14,7,22,0,1033,84,138,340,265,48,105,53,811,158
0500000US48103,Crane County  Texas,447,131,197,119,0,2886,359,309,885,730,244,261,98,2218,359
0500000US48105,Crockett County  Texas,250,19,150,81,0,2399,90,418,822,552,179,253,85,1891,338
0500000US48107,Crosby County  Texas,517,117,128,267,5,3753,407,488,1348,822,208,370,110,2858,480
0500000US48109,Culberson County  Texas,124,16,52,51,5,1581,328,189,598,251,73,113,29,1064,142
0500000US48111,Dallam County  Texas,583,147,358,45,33,4379,680,668,1161,1156,117,448,149,3031,597
0500000US48113,Dallas County  Texas,250073,42130,81918,97218,28807,1648710,187087,164354,372587,323718,94410,322294,184260,1297269,506554
0500000US48115,Dawson County  Texas,1523,617,542,354,10,8277,1063,1193,3029,1660,295,793,244,6021,1037
0500000US48117,Deaf Smith County  Texas,1863,331,622,891,19,11100,1809,1185,3797,2324,635,1008,342,8106,1350
0500000US48119,Delta County  Texas,430,98,115,217,0,3565,169,344,1208,841,244,482,277,3052,759
0500000US48121,Denton County  Texas,75786,8181,19658,39692,8255,526185,18773,20837,95181,117536,39855,157893,76110,486575,234003
0500000US48123,DeWitt County  Texas,1258,257,527,438,36,14552,1224,1543,5705,3328,890,1340,522,11785,1862
0500000US48125,Dickens County  Texas,133,45,36,38,14,1603,74,222,548,402,90,160,107,1307,267
0500000US48127,Dimmit County  Texas,934,503,222,209,0,6534,1640,497,2170,1042,261,667,257,4397,924
0500000US48129,Donley County  Texas,444,24,118,300,2,2257,99,167,720,676,149,317,129,1991,446
0500000US48131,Duval County  Texas,1139,284,495,360,0,7254,1170,1216,2254,1511,431,407,265,4868,672
0500000US48133,Eastland County  Texas,1976,312,535,1030,99,12553,673,1380,4451,3377,999,1008,665,10500,1673
0500000US48135,Ector County  Texas,17020,3493,6317,6274,936,93728,8501,13941,28230,22505,5947,10624,3980,71286,14604
0500000US48137,Edwards County  Texas,213,75,118,20,0,1495,270,93,434,245,142,278,33,1132,311
0500000US48139,Ellis County  Texas,15254,2551,4833,7019,851,108071,7076,8419,30531,28112,8937,17562,7434,92576,24996
0500000US48141,El Paso County  Texas,96782,11817,29128,50384,5453,508397,69362,44914,121278,117636,39463,78024,37720,394121,115744
0500000US48143,Erath County  Texas,9079,490,1890,6272,427,23659,1390,1899,5548,6259,1536,4630,2397,20370,7027
0500000US48145,Falls County  Texas,1587,397,629,509,52,12035,1124,1639,4562,2343,814,1252,301,9272,1553
0500000US48147,Fannin County  Texas,2879,734,982,1083,80,24052,1209,2406,8622,6154,1635,2635,1391,20437,4026
0500000US48149,Fayette County  Texas,1834,237,837,703,57,18026,1634,1212,7265,3494,1159,2431,831,15180,3262
0500000US48151,Fisher County  Texas,358,44,129,143,42,2718,212,171,932,638,270,391,104,2335,495
0500000US48153,Floyd County  Texas,470,71,225,163,11,3823,577,437,1067,855,278,465,144,2809,609
0500000US48155,Foard County  Texas,99,18,2,79,0,1047,95,141,300,248,93,134,36,811,170
0500000US48157,Fort Bend County  Texas,61660,8725,17928,28404,6603,472198,23301,22913,83705,91474,32898,133723,84184,425984,217907
0500000US48159,Franklin County  Texas,816,102,349,322,43,7260,475,345,2175,2103,447,1265,450,6440,1715
0500000US48161,Freestone County  Texas,1309,260,452,431,166,13854,957,1514,4549,3550,1477,1342,465,11383,1807
0500000US48163,Frio County  Texas,2687,902,1274,422,89,12088,2141,1894,4319,2031,838,656,209,8053,865
0500000US48165,Gaines County  Texas,1895,514,938,359,84,11142,3109,1217,3272,1581,584,1012,367,6816,1379
0500000US48167,Galveston County  Texas,28203,4517,8504,12116,3066,218621,9788,15982,55710,51489,19960,43315,22377,192851,65692
0500000US48169,Garza County  Texas,640,188,328,124,0,4597,1077,699,1281,797,104,454,185,2821,639
0500000US48171,Gillespie County  Texas,1747,271,766,589,121,19255,1029,1018,5896,3814,990,4780,1728,17208,6508
0500000US48173,Glasscock County  Texas,216,22,56,91,47,876,184,69,183,168,69,140,63,623,203
0500000US48175,Goliad County  Texas,658,157,214,269,18,5257,415,235,1614,1560,508,645,280,4607,925
0500000US48177,Gonzales County  Texas,1791,417,912,434,28,13288,1603,1597,5503,2347,602,1197,439,10088,1636
0500000US48179,Gray County  Texas,1756,360,686,645,65,15109,1134,1873,4883,3949,1254,1541,475,12102,2016
0500000US48181,Grayson County  Texas,11093,1496,3844,5301,452,86890,3435,6501,26822,23892,8450,12152,5638,76954,17790
0500000US48183,Gregg County  Texas,11924,1513,4053,5746,612,79588,5033,7836,22830,21138,6229,11393,5129,66719,16522
0500000US48185,Grimes County  Texas,2437,725,1028,641,43,18973,1547,2325,6745,4641,942,1734,1039,15101,2773
0500000US48187,Guadalupe County  Texas,13986,1994,6385,4717,890,101274,4582,6917,31336,21731,8817,17930,9961,89775,27891
0500000US48189,Hale County  Texas,3862,789,1526,1366,181,20893,2552,2424,7081,4354,1028,2412,1042,15917,3454
0500000US48191,Hall County  Texas,276,49,163,60,4,2084,248,255,600,574,108,204,95,1581,299
0500000US48193,Hamilton County  Texas,637,123,381,127,6,5925,434,661,2000,1105,437,903,385,4830,1288
0500000US48195,Hansford County  Texas,537,116,244,118,59,3377,613,439,942,777,122,349,135,2325,484
0500000US48197,Hardeman County  Texas,315,121,61,122,11,2722,200,371,952,630,173,282,114,2151,396
0500000US48199,Hardin County  Texas,4594,663,2512,1256,163,37792,1238,3350,14891,9095,3453,4079,1686,33204,5765
0500000US48201,Harris County  Texas,438778,76417,139411,181096,41854,2923369,311908,245169,678269,592818,189478,577860,327867,2366292,905727
0500000US48203,Harrison County  Texas,5838,915,2020,2537,366,43759,2111,4480,15027,10655,3126,5809,2551,37168,8360
0500000US48205,Hartley County  Texas,182,7,65,60,50,4335,322,474,1663,991,141,553,191,3539,744
0500000US48207,Haskell County  Texas,573,201,199,153,20,4118,616,529,1421,797,203,378,174,2973,552
0500000US48209,Hays County  Texas,35068,2448,8676,21356,2588,121585,5642,7131,27163,28696,7435,29871,15647,108812,45518
0500000US48211,Hemphill County  Texas,319,80,62,171,6,2440,260,241,715,589,122,397,116,1939,513
0500000US48213,Henderson County  Texas,6401,1327,2703,2156,215,56575,3543,5774,19091,14081,3780,6846,3460,47258,10306
0500000US48215,Hidalgo County  Texas,93716,18240,28307,41489,5680,473253,103740,64291,109847,86046,22457,61689,25183,305222,86872
0500000US48217,Hill County  Texas,2954,434,997,1437,86,24146,1637,2620,8357,5369,2031,2853,1279,19889,4132
0500000US48219,Hockley County  Texas,2717,413,944,1215,145,14354,1717,1730,3818,3487,1595,1382,625,10907,2007
0500000US48221,Hood County  Texas,3891,432,1568,1644,247,41014,1817,2540,12296,11032,2631,7135,3563,36657,10698
0500000US48223,Hopkins County  Texas,2887,460,1168,1128,131,24295,1713,2243,8800,5615,1475,3033,1416,20339,4449
0500000US48225,Houston County  Texas,1782,388,741,561,92,16692,1021,2274,6157,3665,1215,1779,581,13397,2360
0500000US48227,Howard County  Texas,3685,920,1323,1357,85,24970,2139,3061,8382,6703,1615,2178,892,19770,3070
