id,Geographic Area Name,Estimate!!Total!!Population 18 to 24 years,Estimate!!Total!!Population 18 to 24 years!!Less than high school graduate,Estimate!!Total!!Population 18 to 24 years!!High school graduate (includes equivalency),Estimate!!Total!!Population 18 to 24 years!!Some college or associate's degree,Estimate!!Total!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!Population 25 years and over,Estimate!!Total!!Population 25 years and over!!Less than 9th grade,Estimate!!Total!!Population 25 years and over!!9th to 12th grade!!no diploma,Estimate!!Total!!Population 25 years and over!!High school graduate (includes equivalency),Estimate!!Total!!Population 25 years and over!!Some college!!no degree,Estimate!!Total!!Population 25 years and over!!Associate's degree,Estimate!!Total!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!Population 25 years and over!!Bachelor's degree or higher
0500000US48441,Taylor County  Texas,19610,1880,6458,9626,1646,83059,4012,5657,25030,21282,6712,13445,6921,73390,20366
0500000US48443,Terrell County  Texas,32,0,0,32,0,717,92,41,208,258,8,68,42,584,110
0500000US48445,Terry County  Texas,1126,315,530,269,12,8029,1422,1114,2541,1724,265,664,299,5493,963
0500000US48447,Throckmorton County  Texas,133,8,66,53,6,1126,75,91,415,261,70,165,49,960,214
0500000US48449,Titus County  Texas,3312,664,1417,1187,44,19884,2577,2241,6500,3967,1439,2322,838,15066,3160
0500000US48451,Tom Green County  Texas,14453,1163,4940,7292,1058,75126,4538,6230,22881,17842,5473,12479,5683,64358,18162
0500000US48453,Travis County  Texas,114109,12372,27259,56110,18368,819773,48185,41113,137546,148677,45923,252655,145674,730475,398329
0500000US48455,Trinity County  Texas,939,178,435,295,31,10680,645,1127,4005,2734,804,1005,360,8908,1365
0500000US48457,Tyler County  Texas,2296,810,967,421,98,15121,575,1786,6681,3549,641,1406,483,12760,1889
0500000US48459,Upshur County  Texas,3314,579,1439,1143,153,27588,1468,2853,9400,6949,2223,3316,1379,23267,4695
0500000US48461,Upton County  Texas,267,50,132,75,10,2311,263,240,927,555,98,146,82,1808,228
0500000US48463,Uvalde County  Texas,2811,557,1137,945,172,16824,2501,2150,4519,3476,1528,1973,677,12173,2650
0500000US48465,Val Verde County  Texas,5563,1127,1908,1889,639,29364,5976,3356,6981,5826,1765,3768,1692,20032,5460
0500000US48467,Van Zandt County  Texas,4132,961,1742,1261,168,37568,2212,3969,12502,9331,3141,4693,1720,31387,6413
0500000US48469,Victoria County  Texas,8573,1557,3220,3399,397,59826,4225,5820,18165,14382,5209,8301,3724,49781,12025
0500000US48471,Walker County  Texas,14449,806,2421,10259,963,46214,2965,3899,17830,9569,2416,6674,2861,39350,9535
0500000US48473,Waller County  Texas,10197,789,3199,6022,187,27604,2636,2656,8945,6348,1533,3749,1737,22312,5486
0500000US48475,Ward County  Texas,1162,311,578,203,70,7234,828,710,2549,1884,279,695,289,5696,984
0500000US48477,Washington County  Texas,3896,474,1191,2114,117,23187,1461,1841,7554,4957,1584,3767,2023,19885,5790
0500000US48479,Webb County  Texas,31165,5846,11999,12076,1244,149553,27935,21000,39427,24035,9607,19504,8045,100618,27549
0500000US48481,Wharton County  Texas,3811,955,1143,1525,188,26922,2838,2991,7955,6374,2159,2884,1721,21093,4605
0500000US48483,Wheeler County  Texas,346,40,162,138,6,3712,263,431,1109,976,317,473,143,3018,616
0500000US48485,Wichita County  Texas,17864,1322,8091,7561,890,84203,4308,7074,26643,19979,6835,13226,6138,72821,19364
0500000US48487,Wilbarger County  Texas,1073,185,380,471,37,8922,846,1068,3004,1921,646,1105,332,7008,1437
0500000US48489,Willacy County  Texas,2852,669,1211,972,0,13600,2899,1738,4964,2103,525,1035,336,8963,1371
0500000US48491,Williamson County  Texas,41628,5724,13426,18041,4437,346522,10851,12584,70838,79994,29687,94573,47995,323087,142568
0500000US48493,Wilson County  Texas,3980,514,1500,1744,222,32427,1945,2410,11631,7338,2450,4342,2311,28072,6653
0500000US48495,Winkler County  Texas,894,250,295,314,35,4547,802,698,1268,1083,263,306,127,3047,433
0500000US48497,Wise County  Texas,5253,822,2537,1701,193,43243,2427,4028,14612,11160,3469,5650,1897,36788,7547
0500000US48499,Wood County  Texas,3352,628,1099,1537,88,31947,1813,3039,10919,8727,2203,3715,1531,27095,5246
0500000US48501,Yoakum County  Texas,734,134,239,287,74,5010,1040,555,1445,800,353,598,219,3415,817
0500000US48503,Young County  Texas,1287,257,498,421,111,12441,594,1425,4371,3142,471,1719,719,10422,2438
0500000US48505,Zapata County  Texas,1475,374,648,453,0,8059,2069,1157,2378,1282,338,591,244,4833,835
0500000US48507,Zavala County  Texas,1399,192,450,637,120,7149,1418,1301,2240,1181,395,401,213,4430,614
